Afkorting,Betekenis(sen)
WPPSI,Wechsler Preschool and Primary Scale of Intelligence
WPW,Westpoort Warmte
WR,Wereldrecord
WRD,Weerstand tegen rookdoorgang
Wro,Wet ruimtelijke ordening
WROOV,Werkgroep Reizigers Omvang en Omvang Verkopen
Wsnp,Wet schuldsanering natuurlijke personen
WSW,Wet sociale werkvoorziening
WTA,Women's Tennis Association
w.t.b.w.,"wat te bewijzen was, quod erat demonstrandum"
WTF,"Werktijdfactor, What The Fuck"
WTKG,Werkgroep voor Tertiaire en Kwartaire Geologie
WTO,World Trade Organization
WUR,Wageningen University & Research centre
w.v.,weduwe van/weduwnaar van
WVC,"Ministerie van Welzijn, Volksgezondheid en Cultuur (tot 1994)"
WVG,Wet voorzieningen gehandicapten
Wvggz,Wet verplichte geestelijke gezondheidszorg (2020)
WVL,West-Vlaanderen
WvS,Wetboek van Strafrecht (ook: W.v.Str.)
w.v.t.t.k.,wat verder ter tafel komt
WVW,Wegenverkeerswet 1994
ww.,werkwoord
WW,Werkloosheidswet; Wegenwacht
WWB,Wet werk en bijstand
WWE,World Wrestling Entertainment
WWF,Voormalige naam WWE (World Wrestling Entertainment) en World Wide Fund for Nature (Wereld Natuur Fonds)
Wwft,Wet ter voorkoming van witwassen en financieren van terrorisme
www,world-wide web
wysiwyg,What you see is what you get
Wzd,Wet zorg en dwang
wzw,westzuidwest
z.,Zuid
z.a.,zie aldaar
zat.,zaterdag
ZB,Zettabyte
Z.B.,Zuiderbreedte
z.b.b.h.h.,zijne bezigheden buitenshuis hebbende
zbc,zelfstandig behandelcentrum
zbo,zelfstandig bestuursorgaan
Z.D.,Zijne Doorluchtigheid; zonder datum (bij gebruik APA-regels)
Z.D.H.,Zijne Doorluchtige Hoogheid
Z.E.,Zijne Edelheid; Zeer Eerwaarde
Z.Em.,Zijne Eminentie
ZFW,Ziekenfondswet
zg.,zogenaamd
z.g.,zaliger gedachtenis
z.g.a.n.,zo goed als nieuw
zgn.,zogenaamd
ZH,Zuid-Holland
Z.H.,Zijne Heiligheid; Zijne Hoogheid
z.h.s.,zonder hoofdelijke stemming
z.i.,zijns inziens
ZIS,Ziekenhuisinformatiesysteem
z.j.,zonder jaartal
Z.K.H.,Zijne Koninklijke Hoogheid ; Zijne Keizerlijke Hoogheid
Z.K.M.,Zijne Koninklijke Majesteit; Zijne Keizerlijke Majesteit
ZM,zittende magistratuur
ZL,Zeeland
ZLM,Zeeuwse Landbouw Maatschappij
ZLTO,Zuidelijke Land- en Tuinbouworganisatie
Zm,Zettameter
Z.M.,Zijne Majesteit
ZMC,Zaans Medisch Centrum
Z.M.L.K.,Zeer Moeilijk Lerende Kinderen
Z.M.O.K.,Zeer Moeilijk Opvoedbare Kinderen
zn.,"zoon, zonen"
znw.,zelfstandig naamwoord
z.o.,zuidoost
ZOA,zeer open asfalt
ZOAB,zeer open asfaltbeton
Zobest,Zelfonderzoek belangstelling en studierichtingen (een belangstellingsvragenlijst i.v.m. studie- en beroepskeuze)
z.o.z.,zie ommezijde
Zr.,zuster
Zr.Ms.,Zijner Majesteits (wordt gevolgd door de betreffende scheepsnaam)
z.s.m.,zo spoedig mogelijk
z.v.,zoon van
z.v.k.,zonder verdere kosten
z.v.t.,zonder volledige titel
z.v.v.a.,zonder verlies van algemeenheid
ZW,Ziektewet
z.w.,zuidwest
zzo,zuidzuidoost
zzp,zelfstandige zonder personeel; Zorgzwaartepakket
zzw,zuidzuidwest
